monsters,base,normal,giant ant,1,1,0
monsters,base,normal,giant beetle,1,1,0
monsters,base,normal,fire ant,1,1,0
monsters,base,normal,killer bee,1,1,0
monsters,base,normal,queen bee,1,1,0
monsters,base,normal,soldier ant,1,1,0
monsters,base,normal,quivering blob,1,1,0
monsters,base,normal,acid blob,1,1,0
monsters,base,normal,gelatinous cube,1,1,0
monsters,base,normal,mucilaginous cube,1,1,0
monsters,base,normal,pyrolisk,1,1,0
monsters,base,normal,chickatrice,1,1,0
monsters,base,normal,cockatrice,1,1,0
monsters,base,normal,giant cockatrice,1,1,0
monsters,base,normal,gargantuan cockatrice,1,1,0
monsters,base,normal,jackal,1,1,0
monsters,base,normal,fox,1,1,0
monsters,base,normal,coyote,1,1,0
monsters,base,normal,winter wolf cub,1,1,0
monsters,base,normal,dingo,1,1,0
monsters,base,normal,little dog,1,1,0
monsters,base,normal,werejackal,1,1,0
monsters,base,normal,direwolf cub,1,1,0
monsters,base,normal,hell hound pup,1,1,0
monsters,base,normal,dog,1,1,0
monsters,base,normal,hyena,1,1,0
monsters,base,normal,wolf,1,1,0
monsters,base,normal,large dog,1,1,0
monsters,base,normal,direwolf,1,1,0
monsters,base,normal,winter wolf,1,1,0
monsters,base,normal,werewolf,1,1,0
monsters,base,normal,warg,1,1,0
monsters,base,normal,large direwolf,1,1,0
monsters,base,normal,hell hound,1,1,0
monsters,base,normal,shoosuva,1,1,0
monsters,base,normal,gas spore,1,1,0
monsters,base,normal,floating eye,1,1,0
monsters,base,normal,freezing sphere,1,1,0
monsters,base,normal,flaming sphere,1,1,0
monsters,base,normal,shocking sphere,1,1,0
monsters,base,normal,beholder,1,1,0
monsters,base,normal,elder orb,1,1,0
monsters,base,normal,death tyrant,1,1,0
monsters,base,normal,kitten,1,1,0
monsters,base,normal,housecat,1,1,0
monsters,base,normal,large cat,1,1,0
monsters,base,normal,lynx,1,1,0
monsters,base,normal,jaguar,1,1,0
monsters,base,normal,panther,1,1,0
monsters,base,normal,tiger,1,1,0
monsters,base,normal,gnoll,1,1,0
monsters,base,normal,gnoll warden,1,1,0
monsters,base,normal,gnoll lord,1,1,0
monsters,base,normal,gnoll king,1,1,0
monsters,base,normal,flind,1,1,0
monsters,base,normal,flind lord,1,1,0
monsters,base,normal,gnome,1,1,0
monsters,base,normal,gnome lord,1,1,0
monsters,base,normal,gnomish wizard,1,1,0
